old_name,new_name,clements_match,broadened to,note
Scoter sp.,Melanitta sp.,FALSE,genus,
Mergus sp.,Mergellus/Lophodytes/Mergus sp.,FALSE,three genera,
Thrasher sp.,Mimidae sp.,TRUE,family,
Molothrus sp.,Icteridae sp.,FALSE,family,
Morus sp.,Sulidae,FALSE,family,no spuh
Muscicapid sp.,Muscicapidae sp.,TRUE,family,
Myiozetetes sp.,Tyrannidae sp.,FALSE,family,
Nectariniidae sp.,Nectariniidae sp. (sunbird sp.),TRUE,family,
Nycticorax sp.,Nycticorax nycticorax/caledonicus,FALSE,two species,
Oriolidae sp.,Oriolidae,TRUE,family,no spuh
Parid sp.,Paridae sp.,TRUE,family,
Parkesia sp.,Parkesia motacilla/noveboracensis,FALSE,two species,
Parulid sp.,Parulidae sp.,TRUE,family,
Parulinae sp.,Parulidae sp.,TRUE,family,
Passeridae sp.,Passeridae,TRUE,family,no spuh
Passerine sp.,Passeriformes sp.,FALSE,order,
Sparrow sp.,Passeriformes ,FALSE,order,
Pelecanidae sp.,Pelecanus sp.,FALSE,genus,monotypic family
Phaethontidae sp.,Phaethon sp.,TRUE,genus,monotypic family
Phalacrocoracid sp.,Phalacrocoracidae sp.,TRUE,family,
Phalacrocorax sp.,Phalacrocoracidae sp.,FALSE,family,
Forest grouse sp.,Tetraoninae sp.,TRUE,subfamily,
Grouse sp.,Tetraoninae sp.,TRUE,subfamily,
Pheasant sp.,Phasianidae sp. (pheasant sp.),TRUE,family,
Phasianidea sp.,Phasianidae,TRUE,family,no spuh
Phoebastria sp.,Diomedeidae sp.,FALSE,family,
Wood-warbler sp.,Parulidae sp.,TRUE,family,
Woodpecker sp.,Picidae sp.,TRUE,family,
Picoides sp.,Picidae sp.,FALSE,family,
Plegadis sp.,Threskiornithidae sp. (ibis sp.),FALSE,family,
Ploceidae sp.,Ploceidae,TRUE,family,no spuh
Grebe sp.,Podicipedidae sp.,FALSE,family,
Podilymbus sp.,Podicipedidae sp.,FALSE,family,
Gnatcatcher sp.,Polioptilidae,TRUE,family,no spuh
Porzana sp.,Porzana/Zapornia sp.,FALSE,two genera,
Shearwater sp.,Procellariidae sp. (shearwater sp.),TRUE,family,
Procellariiformes sp.,,FALSE,,Not identifiable
Petrel sp.,Procellariidae sp.,FALSE,family,
Procellariiform sp.,,FALSE,,Not identifiable
Storm-petrel sp.,Oceanitidae/Hydrobatidae sp.,FALSE,two families,
Psittacid sp.,Psittacidae,TRUE,family,no spuh
Psittacidae sp.,Psittacidae,TRUE,family,no spuh
Pyrrhula sp.,Fringillidae sp.,FALSE,family,
Rallidae sp.,Rallidae,TRUE,family,no spuh
Rallid sp.,Rallidae,TRUE,family,no spuh
Ramphastidae sp.,Ramphastidae,TRUE,family,no spuh
Regulidae sp.,Regulidae,TRUE,family,no spuh
Regulus sp.,Regulidae,FALSE,family,no spuh
Rhea sp.,Rheidae,FALSE,family,no spuh
Rissa sp.,Rissa tridactyla/brevirostris,FALSE,two species,
Rynchops sp.,Laridae sp.,FALSE,family,
Sandpiper sp.,Scolopacidae sp.,FALSE,family,
Sittidae sp.,Sitta sp.,TRUE,genus,monotypic family
Sittid sp.,Sitta sp.,TRUE,genus,monotypic family
Eider sp.,Somateria sp.,FALSE,genus,
Stercorariidae sp.,Stercorarius sp.,TRUE,genus,monotypic family
Jaeger sp.,Stercorarius sp. (jaeger sp.),TRUE,genus,
Skua sp.,Stercorarius sp. (skua sp.),TRUE,genus,
Catharacta sp.,Stercorarius sp.,FALSE,genus,
Tern sp.,Sterninae sp.,FALSE,subfamily,
Sternidae sp.,Sterninae sp.,FALSE,subfamily,
Sternus sp.,Sterninae sp.,FALSE,subfamily,
Strigidae sp.,Strigidae,TRUE,family,no spuh
Owl sp.,Strigiformes sp.,FALSE,order,
unid. Owl sp.,Strigiformes sp.,FALSE,order,
Sylviidae sp.,Sylvia/Curruca sp.,TRUE,two genera,
Thamnophilidae sp.,Thamnophilidae,TRUE,family,no spuh
Tanager sp.,Thraupidae sp. (tanager sp.),TRUE,family,
Thraupid sp.,Thraupidae sp.,TRUE,family,
Thraupinae sp.,Thraupidae sp.,TRUE,family,
unid. Tanager sp.,Thraupidae sp. (tanager sp.),TRUE,family,
Threskiornis sp.,Threskiornithidae sp. (ibis sp.),TRUE,family,
Threskiornithidae sp.,Threskiornithidae,TRUE,family,no spuh
Threskiornithid sp.,Threskiornithidae,TRUE,family,no spuh
Ibis sp.,Threskiornithidae sp. (ibis sp.),FALSE,family,
Tiaris sp.,Tiaris olivaceus,FALSE,species,
Wren sp.,Troglodytidae sp.,TRUE,family,
Trogonidae sp.,Trogonidae,TRUE,family,no spuh
Turnicidae sp.,Turnicidae,TRUE,family,no spuh
Tympanuchus sp.,Tympanuchus cupido/pallidicinctus,FALSE,two genera,
Tytonidae sp.,Tytonidae,TRUE,family,no spuh
Uria sp.,Uria lomvia/aalge,FALSE,two species,
Urile sp.,Phalacrocoracidae sp.,FALSE,family,
Vireonidae sp.,Vireonidae,TRUE,family,no spuh
Vireonid sp.,Vireonidae,TRUE,family,no spuh
Zenaida sp.,Columbidae sp.,FALSE,family,
Raptor sp.,Accipitriformes/Falconiformes sp.,TRUE,two orders,
Seabird sp.,,TRUE,,Not identifiable
Songbird sp.,Passeriformes sp.,TRUE,order,
Unid. Raptor sp.,Accipitriformes/Falconiformes sp.,TRUE,two orders,
Unid. Bunting sp.,Passeriformes sp.,TRUE,order,
Wading bird sp.,,TRUE,,Not identifiable
unid. Raptor sp.,Accipitriformes/Falconiformes sp.,TRUE,two orders,
Areid sp.,Ardeidae sp.,TRUE,family,
